Scraped At,Section,Product Name,Discount,Rating
2026-02-15,Women Clothing,Gopalvilla Women Cotton Tummy & Thigh Shaper ( Black ),52,1.8
2026-02-15,Women Clothing,PIYURZ Pack of 6 Poly Cotton Solid Women's Briefs ( Multi Color ),51,4.2
2026-02-15,Women Clothing,Lecowar Women Fleece Hooded Sweatshirt For ( Maroon ),7,3.0
2026-02-15,Women Clothing,Vibhagyaa Georgette Printed Saree With Unstitched Blouse Piece ( Black ),17,3.2
2026-02-15,Women Clothing,shrihub - Cotton Red Women's Semi Patiala Salwar ( Pack of 1 ),36,1.4
2026-02-15,Women Clothing,FIHA Womens Fishnet Bodystocking Crotchless Bodysuit Tights Soft Nightwear Lingerie,19,4.1
2026-02-15,Women Clothing,Shri Hub Cotton Women White Salwar,32,3.2
2026-02-15,Women Clothing,YUGAVEERAA Lycra Solid Regular Saree With Unstitched Blouse Piece ( Blue ),36,4.3
2026-02-15,Women Clothing,"N-Gal Lycra Petticoat ( Black , )",19,3.5
2026-02-15,Women Clothing,color bucket Women Net Circular Semi Stitched Lehenga Choli ( Beige ),24,3.9
2026-02-15,Women Clothing,DOOZIE LOVEPLUS Pack of 6 Poly Cotton Printed Women's Hipster ( Multicolor ),26,3.2
2026-02-15,Women Clothing,PuriMaa White Organza Circular Semi Stitched Lehenga,15,4.5
2026-02-15,Women Clothing,"BLYNK Lycra Petticoat ( Multicoloured , )",26,1.7
2026-02-15,Women Clothing,POPWINGS Polyester Blend Women's Shrugs - Purple ( Single ),10,2.0
2026-02-15,Women Clothing,PuriMaa Black Organza Circular Semi Stitched Lehenga,18,2.8
2026-02-15,Women Clothing,Jyoti Traders Cotton Women's Shrugs - Black ( Single ),7,3.3
2026-02-15,Women Clothing,"TAMINA Black,White Cotton Blend Women's Flared Skirt ( Pack of 1 )",5,2.4
2026-02-15,Women Clothing,Lecowar Women Fleece Hooded Sweatshirt For ( Maroon ),6,4.6
2026-02-15,Women Clothing,"DELTIN HUB Polyester Petticoat ( White , )",48,3.0
2026-02-15,Women Clothing,color bucket Blue Net Circular Semi Stitched Lehenga Single,42,3.9
2026-02-15,Women Clothing,PuriMaa Blue Organza Circular Semi Stitched Lehenga,53,4.6
2026-02-15,Women Clothing,Ishant Pack of 3 Cotton Non Padded Everyday Bra For Women ( Multicolor ),9,4.4
2026-02-15,Women Clothing,SHREE SANT SAREES Women Jacquard Straight Cut Unstitched Lehenga Choli ( Multicolor ),21,4.1
2026-02-15,Women Clothing,"Igrab Cotton Blend Hipster ( Multicolor , Pack of 10 )",30,2.5
2026-02-15,Women Clothing,RISKY FAB Lycra Printed Women T-shirt with Pyjama ( Pink ),52,3.2
2026-02-15,Women Clothing,RIYA ENTERPRISE Chiffon Solid Regular Saree With Unstitched Blouse Piece ( Gold ),25,4.2
2026-02-15,Women Clothing,"Paryag Woollen Thermal Tops ( Multi Color , Pack of 2 )",21,3.7
2026-02-15,Women Clothing,THAWE PARIDHAN Women Cotton Blend Printed Oversized Fit Round Neck T-Shirt ( White ),51,3.8
2026-02-15,Women Clothing,"Anjaneya Creations Women Cotton Blend Dupatta ( Black , Pack of 1 )",27,1.7
2026-02-15,Women Clothing,JILUDI Georgette Solid Regular Saree With Unstitched Blouse Piece ( Black ),8,2.3
2026-02-15,Women Clothing,Ogarti Woollen Shrugs - Maroon,16,4.4
2026-02-15,Women Clothing,Purys Polyester Blend Free Size Women's White Shrug,53,2.6
